search,name,number of stars,prize,weight,freshness,url
candy,"Sour Patch Kids Zombie Swedish Fish & Bubblicious Gum Halloween Candy Mix, Strawberry, 75 Count",4.9 out of 5 stars,$21.15 ,1 Pound (Pack of 1),1,https://m.media-amazon.com/images/I/913dJIoY8MS._SL1500_.jpg
chocolate,"Ferrero Rocher Fine Hazelnut Milk Chocolate, 24 Count, Chocolate Candy Gift Box, 10.5 oz",4.8 out of 5 stars,$39.95 ,24 Count (Pack of 1),0,https://m.media-amazon.com/images/I/91qi6PV+XBL._SL1500_.jpg
chocolate marshmallow,"Sarah's Candy Factory Mini Dehydrated Chocolate Marshmallow Bits in Jar, 2.5 lb",4.4 out of 5 stars,$10.99 ,2 Pound,0,https://m.media-amazon.com/images/I/713ipK0eliL._SL1303_.jpg
pudding powder,Dr. Oetker Vanilla Pudding 1.5 oz (Pack of 6),4.8 out of 5 stars,$9.97 ,1.5 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/61R0pa-wIcL.jpg
specialty fat,"Thatcher's Gourmet Specialties Popcorn, Fat-Free Caramel Corn, 8-Ounce Bags (Pack of 12)",3.5 out of 5 stars,$38.30 ,2.63 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/41nvJVF6v6L.jpg
sugar,"Lakanto Golden Monkfruit Sweetener - 1:1 Raw Cane Sugar Substitute, Zero Calorie, Keto Diet Friendly, Zero Net Carbs, Zero Glycemic, Baking, Extract, Sugar Replacement (Golden - 8.29 ounces)",4.7 out of 5 stars,$5.97 ,8.29 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/81nCMeI15kS._SL1500_.jpg
specialty chocolate,"Christmas Cocoa Gift Hot Chocolate Gourmet Gift Box Set or Sampler - Best Xmas Holiday Present For Friends, Entire Family, Corporate, Client, Coworkers Teachers (Cocoa)",4.3 out of 5 stars,$33.99 ,1 Ounce (Pack of 12),1,https://m.media-amazon.com/images/I/91zyhlKd1zL._SL1500_.jpg
cooking chocolate,"Callebaut Belgian Dark Couverture Chocolate Semisweet Callets, 54.5% - 5.5 Lbs",4.8 out of 5 stars,$41.45 ,5.5 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/61mHlMpztUL._SL1080_.jpg
artif. sweetener,"Lakanto Classic Monkfruit Sweetener - 1:1 White Sugar Substitute, Zero Calorie, Keto Diet Friendly, Zero Net Carbs, Zero Glycemic, Baking, Extract, Sugar Replacement (Classic White - 8.29 Oz)",4.7 out of 5 stars,$5.95 ,8.29 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/91vAcb3Ya6L._SL1500_.jpg
snack products,Highkey Keto Chocolate Chip Cookies - 3 Pack - Low Carb Snacks Keto Food Sugar Free High Protein Cookie with Zero Carbs for Healthy Snack Foods Diabetic Friendly Ketogenic Products,4.3 out of 5 stars,$12.97 ,2.25 Ounce (Pack of 3),1,https://m.media-amazon.com/images/I/81RSrBY-pxL._SL1500_.jpg
