search,name,number of stars,prize,weight,freshness,
baby food,"Happy Baby Organics Clearly Crafted Stage 2 Baby Food, Fruit Veggie Variety Pack, 4 Ounce Pouch (Pack of 10)",4.7 out of 5 stars,$25.88 ,4 Ounce (Pack of 10),0,https://m.media-amazon.com/images/I/91pN6z5C7yL._SL1500_.jpg
citrusfruit,Sweet Sunshine Citrus Fruit Basket Gift,4.0 out of 5 stars,$18.49 ,14 Piece Assortment,0,https://m.media-amazon.com/images/I/81bpCwtWG4S._SL1500_.jpg
canned fruit,"Dole Canned Tropical Fruit in Light Syrup & Passionfruit Juice, Pineapple & Papaya, 15.25 Oz, 12 Count",4.7 out of 5 stars,$29.90 ,15.25 Ounce (Pack of 12),1,https://m.media-amazon.com/images/I/51Lyo7q6zIS.jpg
grapes,"TASAMI Organic Sea Grapes, Umibudo Green Caviar, Dehyrated Lato Seaweed , Superfood - Enhance Health, Boosting Immune System - 1 box (3.5 oz) includes 5 packs (0.7 oz) (1Box 100gr (3.5 oz))",4.7 out of 5 stars,$9.99 ,12 Fl Oz (Pack of 24),1,https://m.media-amazon.com/images/I/8124tVxzFzL._SL1500_.jpg
citrus fruit,"Nuun, Citrus Orange Immunity Box 8 Count, 1.9 Ounce",4.6 out of 5 stars,$44.50 ,10 Count (Pack of 8),0,https://m.media-amazon.com/images/I/71o6dyISEYL._AC_SL1500_.jpg
frozen fruits,"Trader Joe's Freeze Dried Blueberries and Freeze Dried Strawberries, 1 of Each, 2 Bags Total",3.8 out of 5 stars,$31.95 ,1.2 Ounce (Pack of 2),0,https://m.media-amazon.com/images/I/913So4blpuL._SL1500_.jpg
curd,"Tiptree Passion Fruit Curd, 11 Ounce Jar",4.5 out of 5 stars,$6.93 ,11 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/61yVsuF+JHL._SL1200_.jpg
misc. beverages,"Great Value Energy Drink Mix bundle: 2x Dragon Fruit, Grape; 2x Electrolyte Stawberry Kiwi",5.0 out of 5 stars,$94.38 ,9.6 Fl Oz (Pack of 2),0,https://m.media-amazon.com/images/I/818LV4v8x-L._SL1500_.jpg
berries,Organic Goji Berries | Large & Chewy | Every Batch Lab-Tested | 16oz Resealable Kraft Bag | 100% Raw From Ningxia | by FGO,4.5 out of 5 stars,$23.99 ,1 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/81OKJQ0nkwS._SL1500_.jpg
nuts/prunes,"Mariani Mediterranean Dried Apricots -6oz (Pack of 4) ?Delicately Sweet with No Sugar Added, Gluten Free, Vegan, Fat Free, Non-GMO, Resealable Bag -Healthy Snack for Kids & Adults",4.6 out of 5 stars,$14.99 ,4 Ounce (Pack of 4),0,https://m.media-amazon.com/images/I/71DzfikLBLL._SL1500_.jpg
sweet spreads,"Mariani Mediterranean Dried Apricots -6oz (Pack of 4) ?Delicately Sweet with No Sugar Added, Gluten Free, Vegan, Fat Free, Non-GMO, Resealable Bag -Healthy Snack for Kids & Adults",4.6 out of 5 stars,$14.99 ,4 Ounce (Pack of 4),0,https://m.media-amazon.com/images/I/81Kc+mVjBtL._SL1500_.jpg
tidbits,"Del Monte Canned Gold Pineapple Tidbits In 100% Pineapple Juice, 20 Oz, Pack of 12",4.7 out of 5 stars,$9.24 ,20 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/71QatLGOQSL._SL1500_.jpg
tropical fruit,"Dole Canned Tropical Fruit in Light Syrup & Passionfruit Juice, Pineapple & Papaya, 15.25 Oz, 12 Count",4.7 out of 5 stars,$37.71 ,15.25 Ounce (Pack of 12),0,https://m.media-amazon.com/images/I/81HCfxurL3L._SL1500_.jpg
